"","site_id","timestamp","air_temperature","cloud_coverage","dew_temperature","sea_level_pressure","wind_direction","wind_speed"
"1",12,"2016-01-01",5.71666666666667,6.625,3.20833333333333,1007.625,140,8.875
"2",12,"2016-01-02",8.43333333333333,7.58333333333333,7.4375,996.595833333333,175,5.20833333333333
"3",12,"2016-01-03",7.0125,5.34782608695652,4.97916666666667,982.834782608696,151.666666666667,5.50416666666667
"6",12,"2016-01-06",5.97083333333333,7.20833333333333,4.45416666666667,991.179166666667,205.416666666667,6.29166666666667
"7",12,"2016-01-07",4.875,4.5,1.90416666666667,986.9,233.333333333333,8.93333333333333
"8",12,"2016-01-08",3.8375,6.04166666666667,1.92083333333333,992.283333333333,197.916666666667,3.25
"10",12,"2016-01-10",3.45833333333333,4.79166666666667,1.49583333333333,978.054166666667,229.583333333333,7.20833333333333
"11",12,"2016-01-11",3.2,4.625,1.6875,982.975,247.083333333333,5.29166666666667
"12",12,"2016-01-12",3.3625,4,0.783333333333333,1002.6375,276.25,9.875
"13",12,"2016-01-13",2.33333333333333,5.625,0.379166666666667,1009.19166666667,230.833333333333,5.79166666666667
"14",12,"2016-01-14",1.0625,4.79166666666667,-0.291666666666667,1012.81666666667,279.583333333333,6.08333333333333
"15",12,"2016-01-15",1.07083333333333,1.91666666666667,-0.641666666666667,1025.50416666667,266.25,6.79166666666667
"16",12,"2016-01-16",2.75,5.5,1.3625,1028.7125,242.5,4.70833333333333
"17",12,"2016-01-17",5.45416666666667,7.20833333333333,4.625,1019.275,165.833333333333,4.91666666666667
"18",12,"2016-01-18",6.28333333333333,7.33333333333333,4.7625,1010.74583333333,134.166666666667,5.25
"19",12,"2016-01-19",3.92083333333333,5.875,3.32916666666667,1015.74166666667,176.25,2.04166666666667
"20",12,"2016-01-20",3.74166666666667,3.33333333333333,0.3875,1016.8875,142.5,5.41666666666667
"21",12,"2016-01-21",9.0125,7.45833333333333,7.19166666666667,1009.75416666667,144.166666666667,7.58333333333333
"22",12,"2016-01-22",10.6208333333333,4.66666666666667,7.04166666666667,1006.97083333333,205.833333333333,8.54166666666667
"23",12,"2016-01-23",9.66666666666667,6.58333333333333,6.57083333333333,1019.39166666667,192.916666666667,5.83333333333333
"24",12,"2016-01-24",13.5666666666667,7,10.65,1015.86666666667,201.666666666667,8.375
"25",12,"2016-01-25",10.4791666666667,6.09523809523809,7.0625,1009.66666666667,197.916666666667,8.45
"26",12,"2016-01-26",10.3416666666667,6.5,7.5375,999.966666666667,199.166666666667,11.375
"27",12,"2016-01-27",7.50833333333333,4.8695652173913,5.34166666666667,1001.43913043478,244.583333333333,10.3666666666667
"28",12,"2016-01-28",6.55,5.56521739130435,4.1,1013.82173913043,223.75,9.53333333333333
"29",12,"2016-01-29",8.77083333333333,5.625,4.43333333333333,1005.925,237.5,13.2083333333333
"30",12,"2016-01-30",2.95833333333333,5.95833333333333,0.025,1007.17083333333,242.916666666667,8.83333333333333
"31",12,"2016-01-31",8.54166666666667,7.79166666666667,7.32083333333333,1003.17916666667,227.916666666667,9.08333333333333
"32",12,"2016-02-01",9.2375,5.54166666666667,4.9,1005.77916666667,239.583333333333,14.4166666666667
"33",12,"2016-02-02",4.25833333333333,4.375,0.591666666666667,1011.93333333333,246.666666666667,10.375
"34",12,"2016-02-03",4.7,6.70833333333333,1.7875,1022.17083333333,251.666666666667,9.375
"35",12,"2016-02-04",9.675,7.66666666666667,8.6125,1022.74583333333,246.666666666667,8.41666666666667
"36",12,"2016-02-05",7.30416666666667,6.56521739130435,4.92916666666667,1008.09130434783,212.083333333333,8.07083333333333
"37",12,"2016-02-06",5.70416666666667,5.65217391304348,3.05833333333333,986.559090909091,180.416666666667,7.36666666666667
"38",12,"2016-02-07",4.75416666666667,4.68181818181818,2.02916666666667,980.213636363636,220.833333333333,10.1208333333333
"39",12,"2016-02-08",5.49583333333333,6.79166666666667,3.35833333333333,977.191666666667,238.333333333333,12.625
"40",12,"2016-02-09",2.5875,6.16666666666667,1.22083333333333,985.45,249.166666666667,10
"41",12,"2016-02-10",2.525,2.26086956521739,1.13333333333333,999.3375,260.416666666667,5.08333333333333
"42",12,"2016-02-11",2.34166666666667,5.125,1.075,1001.04166666667,161.25,2.75
"43",12,"2016-02-12",3.9875,7.20833333333333,2.77083333333333,992.875,119.583333333333,4.16666666666667
"45",12,"2016-02-14",3.25416666666667,5.73684210526316,-0.158333333333333,1005.44736842105,155.833333333333,6.6875
"46",12,"2016-02-15",0.505555555555556,3.66666666666667,-2.28888888888889,1029.41111111111,262.777777777778,4
