"","site_id","timestamp","air_temperature","cloud_coverage","dew_temperature","sea_level_pressure","wind_direction","wind_speed"
"1",14,"2016-01-01",3.93478260869565,1.25,-3.28260869565217,1017.74782608696,289.545454545455,3.37391304347826
"2",14,"2016-01-02",1.7625,0.947368421052632,-7.61666666666667,1017.52916666667,284.782608695652,3.05833333333333
"3",14,"2016-01-03",1.525,0,-5.32916666666667,1012.15416666667,206.25,2.70416666666667
"4",14,"2016-01-04",-0.9,0.363636363636364,-10.0666666666667,1015.13333333333,325.416666666667,4.62083333333333
"5",14,"2016-01-05",-8.25833333333333,0,-19.3458333333333,1032.1125,306.666666666667,4.6625
"6",14,"2016-01-06",-4.68333333333333,0,-14.1541666666667,1034.54583333333,125.416666666667,1.0125
"7",14,"2016-01-07",-0.341666666666667,0.857142857142857,-9.27083333333333,1026.99583333333,95.4166666666667,0.704166666666667
"8",14,"2016-01-08",3.52083333333333,0,-2.70416666666667,1021.5875,89.1666666666667,2.19583333333333
"9",14,"2016-01-09",6.14166666666667,3,2.80833333333333,1020.31666666667,64.5833333333333,3.3
"10",14,"2016-01-10",11.8208333333333,3.5,9.71666666666667,1004.61363636364,134.583333333333,5.825
"11",14,"2016-01-11",1.04583333333333,0.4,-10.2625,1009.73333333333,277.5,6.43333333333333
"12",14,"2016-01-12",-2.60416666666667,0.307692307692308,-10.0916666666667,1013.72083333333,118.75,2.05416666666667
"13",14,"2016-01-13",-3.65,0.454545454545455,-12.7083333333333,1013.50869565217,281.25,5.95
"14",14,"2016-01-14",-1.96666666666667,1.75,-11.9416666666667,1014.48333333333,213.913043478261,2.60833333333333
"15",14,"2016-01-15",2.5375,0.3,-3.82083333333333,1011.45416666667,85,1.025
"16",14,"2016-01-16",7.15833333333333,1.33333333333333,2.55,999.383333333333,199.166666666667,3.5
"17",14,"2016-01-17",2.29166666666667,3.18181818181818,-4.19583333333333,1008.67916666667,219.583333333333,2.775
"18",14,"2016-01-18",-4.15,0.7,-10.8083333333333,1009.50833333333,246.666666666667,4.60416666666667
